id,followers_count,friends_count,created_at,language
212441692,6064,5423,Sat Nov 06 02:36:00 +0000 2010,en
369763327,1349,1814,Wed Sep 07 22:21:29 +0000 2011,en
1163640458,946,1024,Sat Feb 09 18:05:17 +0000 2013,en
852152114,62,44,Sat Sep 29 03:17:18 +0000 2012,en
41705788,2657,2137,Thu May 21 23:55:32 +0000 2009,en
250647032,1025,2290,Fri Feb 11 14:27:42 +0000 2011,en
21674448,41952,5670,Mon Feb 23 18:00:07 +0000 2009,en
205845373,1108,996,Thu Oct 21 18:41:27 +0000 2010,en
36372950,3364,3019,Wed Apr 29 14:42:42 +0000 2009,en
26739956,2117,1533,Thu Mar 26 12:43:13 +0000 2009,en
1120198981,450,6,Fri Jan 25 20:21:03 +0000 2013,en
25112529,8149,8977,Wed Mar 18 17:30:18 +0000 2009,en
16940885,5985,6428,Fri Oct 24 01:31:46 +0000 2008,en
23702616,550,602,Wed Mar 11 01:54:58 +0000 2009,en
68767919,2597,3502,Tue Aug 25 18:31:36 +0000 2009,en
610356259,1210,761,Sat Jun 16 23:28:32 +0000 2012,en
468712425,1640,2721,Thu Jan 19 20:46:29 +0000 2012,en
621620724,17422,17972,Fri Jun 29 03:46:13 +0000 2012,en
21571481,2441,1462,Sun Feb 22 15:25:25 +0000 2009,en
119749813,2224,1934,Thu Mar 04 14:48:08 +0000 2010,en
220934599,3085,3198,Mon Nov 29 08:09:56 +0000 2010,ko
277124730,15545,492,Mon Apr 04 19:03:30 +0000 2011,en
792176851,923,62,Thu Aug 30 18:47:59 +0000 2012,en
860576268,5716,5781,Thu Oct 04 00:35:58 +0000 2012,en
600681867,2820,339,Wed Jun 06 02:14:17 +0000 2012,en
767011940,7984,1970,Sun Aug 19 05:56:49 +0000 2012,en
36473948,17017,550,Wed Apr 29 20:40:50 +0000 2009,en
258545235,34981,297,Sun Feb 27 23:46:17 +0000 2011,en
409619959,172,1532,Fri Nov 11 00:31:29 +0000 2011,en
18112970,61977,50942,Sun Dec 14 06:38:11 +0000 2008,en
76616277,67355,907,Wed Sep 23 11:06:38 +0000 2009,it
18513517,1250,1991,Wed Dec 31 19:18:01 +0000 2008,en
42081431,3746,4212,Sat May 23 19:20:34 +0000 2009,en
130187048,69520,971,Tue Apr 06 15:40:25 +0000 2010,en
33812807,15534,915,Tue Apr 21 04:34:16 +0000 2009,en
19828669,11665,561,Sat Jan 31 19:55:51 +0000 2009,en
21369218,68379,87,Fri Feb 20 03:17:54 +0000 2009,en
2284580779,598,940,Fri Jan 10 05:16:21 +0000 2014,en
15803789,2106,221,Mon Aug 11 02:04:31 +0000 2008,en
27676828,23359,3795,Mon Mar 30 16:42:39 +0000 2009,en
1648370773,6097,1021,Mon Aug 05 18:03:32 +0000 2013,en
69373202,10709,1871,Thu Aug 27 19:00:48 +0000 2009,en
297233805,2122,2189,Thu May 12 05:07:58 +0000 2011,en
480543460,2021,2489,Wed Feb 01 16:28:21 +0000 2012,en
66704731,8211,9027,Tue Aug 18 15:12:03 +0000 2009,es
114768270,12,7,Tue Feb 16 15:05:32 +0000 2010,en
310310133,16291,384,Fri Jun 03 14:48:36 +0000 2011,en
516030483,1910,2158,Tue Mar 06 00:46:01 +0000 2012,en
27070712,828,2037,Fri Mar 27 19:00:51 +0000 2009,en
317309166,1477,119,Tue Jun 14 18:59:48 +0000 2011,en
40604512,3599,874,Sun May 17 04:04:38 +0000 2009,en
39295587,14297,13979,Mon May 11 17:27:43 +0000 2009,en
240501091,1943,786,Thu Jan 20 02:23:27 +0000 2011,en
2411379176,976,177,Tue Mar 25 18:33:26 +0000 2014,en
90116111,1631,2706,Sun Nov 15 07:08:39 +0000 2009,en
1425763159,1196,299,Mon May 13 15:34:25 +0000 2013,en
1618794644,5164,5560,Wed Jul 24 22:48:15 +0000 2013,en
19133298,2291,663,Sun Jan 18 02:26:04 +0000 2009,en
36545100,5784,5659,Thu Apr 30 01:04:32 +0000 2009,en
22693132,1676,261,Tue Mar 03 22:37:58 +0000 2009,en
21966408,1046,1248,Thu Feb 26 03:48:51 +0000 2009,en
18197740,2978,4036,Wed Dec 17 19:52:53 +0000 2008,en
406295914,4725,5054,Sun Nov 06 14:27:51 +0000 2011,en
316590739,5959,6481,Mon Jun 13 17:38:41 +0000 2011,en
45842973,3555,1758,Tue Jun 09 14:05:26 +0000 2009,en
424409927,1008,420,Tue Nov 29 18:53:51 +0000 2011,en
98906881,11701,1030,Wed Dec 23 15:53:42 +0000 2009,en
2240190258,4160,4631,Wed Dec 11 04:38:19 +0000 2013,en
128874159,5456,741,Fri Apr 02 13:15:47 +0000 2010,en
71332635,2813,3353,Thu Sep 03 19:10:55 +0000 2009,en
359928092,3852,3613,Mon Aug 22 12:05:34 +0000 2011,en
14529929,1717745,6229,Fri Apr 25 17:23:28 +0000 2008,en
72955172,10355,7403,Wed Sep 09 21:25:17 +0000 2009,en
177824006,3443,3868,Fri Aug 13 04:18:00 +0000 2010,en
43919633,319615,3208,Mon Jun 01 16:53:26 +0000 2009,en
2347389008,1997,2254,Sun Feb 16 20:16:15 +0000 2014,en
78565403,2237,2758,Wed Sep 30 10:13:34 +0000 2009,en
336103002,2450,369,Fri Jul 15 18:59:43 +0000 2011,en
177543335,6612,7094,Thu Aug 12 12:14:19 +0000 2010,en
1955339790,3132,3050,Sat Oct 12 00:37:31 +0000 2013,en
18335850,401,336,Tue Dec 23 16:12:25 +0000 2008,en
1105102566,9084,5721,Sun Jan 20 01:38:37 +0000 2013,en
16388149,4198,3552,Sun Sep 21 05:59:39 +0000 2008,en
18169837,1074,1724,Tue Dec 16 19:18:15 +0000 2008,en
1084375028,113499,3147,Sat Jan 12 23:03:43 +0000 2013,en
36735770,2814,2772,Thu Apr 30 18:35:46 +0000 2009,en
47940576,16002,18,Wed Jun 17 12:14:51 +0000 2009,en
2803113772,608,1507,Fri Oct 03 23:21:39 +0000 2014,en
17819885,336,525,Tue Dec 02 21:52:24 +0000 2008,en
19863559,3558,1251,Sun Feb 01 15:59:48 +0000 2009,en
743163666,3676,3846,Tue Aug 07 15:53:28 +0000 2012,en
241635930,6138,1498,Sat Jan 22 19:21:30 +0000 2011,en
16498923,3714,784,Sun Sep 28 15:04:18 +0000 2008,en
15251225,2001,1124,Fri Jun 27 03:15:28 +0000 2008,en
223139420,11463,11526,Sun Dec 05 14:22:57 +0000 2010,es
972898423,1603,313,Mon Nov 26 23:20:44 +0000 2012,en
562924534,908,1634,Wed Apr 25 14:25:34 +0000 2012,en
461095367,195,206,Wed Jan 11 12:56:47 +0000 2012,en
35955737,907,890,Tue Apr 28 02:20:38 +0000 2009,en
16287495,7185,990,Sun Sep 14 21:22:10 +0000 2008,en
25667531,1295,1944,Sat Mar 21 12:27:40 +0000 2009,en
91328704,1736,814,Fri Nov 20 12:21:47 +0000 2009,en
32995183,8635,9132,Sat Apr 18 20:07:33 +0000 2009,en
1157194328,3351,3333,Thu Feb 07 13:50:06 +0000 2013,en
41538183,9963,1049,Thu May 21 05:50:15 +0000 2009,en
213861803,2401,2783,Tue Nov 09 23:56:13 +0000 2010,en
74482441,12937,5141,Tue Sep 15 16:05:40 +0000 2009,en
215792580,4061,5000,Sun Nov 14 22:50:14 +0000 2010,en
2981606896,5401,5614,Fri Jan 16 19:07:24 +0000 2015,en
238177562,1180,91,Fri Jan 14 15:06:32 +0000 2011,en
329706765,24247,13251,Tue Jul 05 14:09:58 +0000 2011,en
274581613,5847,1782,Wed Mar 30 15:36:55 +0000 2011,en
243267748,3580,538,Wed Jan 26 17:40:32 +0000 2011,en
97705675,7001,4779,Fri Dec 18 16:54:46 +0000 2009,en
257933772,2746,2392,Sat Feb 26 16:09:40 +0000 2011,en
85193826,78,91,Sun Oct 25 23:48:30 +0000 2009,en
35535716,1731,2224,Sun Apr 26 19:03:19 +0000 2009,en
172852209,17890,18256,Fri Jul 30 19:39:10 +0000 2010,en
15625434,4134,4513,Mon Jul 28 00:03:41 +0000 2008,en
190401318,3478,528,Mon Sep 13 21:27:28 +0000 2010,en
80919097,7929,1802,Thu Oct 08 19:11:02 +0000 2009,en
920102273262301184,0,0,Tue Oct 17 01:40:51 +0000 2017,en
431742890,28747,16085,Thu Dec 08 16:52:38 +0000 2011,en
1887336738,22723,4526,Fri Sep 20 18:16:48 +0000 2013,en
60046211,5047,2477,Sat Jul 25 12:22:16 +0000 2009,fr
135222992,1497,663,Tue Apr 20 17:47:30 +0000 2010,en
67623033,270,605,Fri Aug 21 14:41:01 +0000 2009,en
1198805312,921,541,Tue Feb 19 22:11:42 +0000 2013,en
474091228,1619,274,Wed Jan 25 16:58:56 +0000 2012,en
120877403,6559,5838,Sun Mar 07 21:16:48 +0000 2010,en
32281887,1849,486,Fri Apr 17 03:14:14 +0000 2009,en
75904087,7090,9751,Sun Sep 20 23:36:54 +0000 2009,en
32145599,1684,1317,Thu Apr 16 20:44:53 +0000 2009,en
24475611,6734,6604,Sun Mar 15 02:51:29 +0000 2009,en
15757578,37707,7886,Thu Aug 07 00:59:34 +0000 2008,en
1494243673,2843,3273,Sun Jun 09 00:04:12 +0000 2013,en
2328752058,5527,4935,Wed Feb 05 13:00:09 +0000 2014,en
346801789,1304,317,Mon Aug 01 21:22:52 +0000 2011,en
794645850,12632,11894,Fri Aug 31 20:50:24 +0000 2012,en
32789881,1126,1724,Sat Apr 18 04:41:41 +0000 2009,en
425967837,1096,1012,Thu Dec 01 17:30:48 +0000 2011,en
1870222346,5906,6466,Mon Sep 16 04:21:52 +0000 2013,en
1258136930,6653,57,Sun Mar 10 22:58:37 +0000 2013,en
341228254,1782,2044,Sun Jul 24 01:15:13 +0000 2011,en
428467308,714,582,Sun Dec 04 20:05:11 +0000 2011,en
2159644136,1237,1902,Sun Oct 27 21:16:09 +0000 2013,en
3131256520,1945,534,Thu Apr 02 02:18:53 +0000 2015,en
552010538,1257,1227,Thu Apr 12 17:05:19 +0000 2012,en
247591382,550,1119,Sat Feb 05 03:48:09 +0000 2011,en
56449803,31447,33839,Mon Jul 13 18:24:52 +0000 2009,en
16091981,15264,16198,Tue Sep 02 03:04:26 +0000 2008,en
13708122,646,228,Wed Feb 20 05:53:55 +0000 2008,en
2176046582,8674,8138,Tue Nov 05 13:07:14 +0000 2013,en
68505627,1279,571,Mon Aug 24 20:53:33 +0000 2009,en
77018791,1239,63,Thu Sep 24 19:16:41 +0000 2009,en
1097268498,34163,36950,Thu Jan 17 05:28:37 +0000 2013,en
16875531,2501,2762,Mon Oct 20 21:41:40 +0000 2008,en
21954690,3255,2989,Thu Feb 26 01:50:55 +0000 2009,en
249785871,12467,5043,Wed Feb 09 19:41:25 +0000 2011,en
15407632,29672,1225,Sat Jul 12 20:28:33 +0000 2008,en
17979466,3054,2743,Tue Dec 09 01:08:26 +0000 2008,en
112436394,2168,3149,Mon Feb 08 14:00:20 +0000 2010,en
959601229,858,797,Tue Nov 20 04:16:35 +0000 2012,en
87303824,726,48,Tue Nov 03 22:47:30 +0000 2009,en
605660985,1289,717,Mon Jun 11 17:07:18 +0000 2012,en
79770902,1567,2421,Sun Oct 04 16:40:40 +0000 2009,en
49615301,8111,6301,Mon Jun 22 12:37:22 +0000 2009,en
9554452,1073,101,Sat Oct 20 01:55:16 +0000 2007,en
20046986,3368,3745,Wed Feb 04 11:52:52 +0000 2009,en
74831215,1458,1686,Wed Sep 16 20:37:39 +0000 2009,en
14091360,11080,1302,Thu Mar 06 21:01:09 +0000 2008,en
92601300,1573,810,Wed Nov 25 20:12:01 +0000 2009,en
408884241,20648,16460,Thu Nov 10 00:52:31 +0000 2011,ko
18072060,4155,4969,Fri Dec 12 07:07:49 +0000 2008,en
