,id,followers_count,friends_count,created_at,language
15740,2425738400,1891,410,Thu Apr 03 14:52:07 +0000 2014,en
15743,109340395,1159,235,Thu Jan 28 18:53:35 +0000 2010,en
15747,2326195717,1579,440,Mon Feb 03 23:43:48 +0000 2014,en
15827,109440495,1222,468,Fri Jan 29 02:05:22 +0000 2010,en
15848,2251020037,1969,489,Tue Dec 17 21:48:42 +0000 2013,en
15866,48582584,1014,331,Fri Jun 19 02:35:58 +0000 2009,en
15871,62933995,1995,360,Tue Aug 04 21:29:22 +0000 2009,en
15889,20891065,1557,295,Sun Feb 15 03:48:24 +0000 2009,en
15909,326239371,1374,238,Wed Jun 29 16:14:26 +0000 2011,en
15933,19593351,1101,257,Tue Jan 27 14:16:19 +0000 2009,en
16026,2905351184,1945,338,Thu Nov 20 17:06:08 +0000 2014,en
16030,267018018,1161,462,Wed Mar 16 05:45:55 +0000 2011,en
16032,37385776,1415,104,Sun May 03 07:49:35 +0000 2009,en
16092,126011912,1596,301,Wed Mar 24 15:20:35 +0000 2010,en
16098,29204185,1784,140,Mon Apr 06 13:57:06 +0000 2009,en
16106,599503354,1789,321,Mon Jun 04 19:33:41 +0000 2012,en
16174,2272031215,1167,376,Wed Jan 01 19:45:11 +0000 2014,en
16196,29271512,1346,266,Mon Apr 06 19:21:07 +0000 2009,en
16209,129791388,1379,149,Mon Apr 05 12:10:00 +0000 2010,en
16210,15173738,1742,347,Thu Jun 19 21:48:01 +0000 2008,en
16217,1117015490,1492,317,Thu Jan 24 15:07:56 +0000 2013,en
16259,488019620,1432,337,Fri Feb 10 00:17:23 +0000 2012,en
16283,14111127,1613,484,Mon Mar 10 03:14:52 +0000 2008,en
16423,45202110,1906,405,Sat Jun 06 20:01:05 +0000 2009,en
16442,76035270,1858,274,Mon Sep 21 14:06:55 +0000 2009,en
16482,24528365,1220,386,Sun Mar 15 14:16:37 +0000 2009,en
16501,419871985,1696,294,Wed Nov 23 22:11:04 +0000 2011,it
16521,69357767,1236,425,Thu Aug 27 17:58:57 +0000 2009,en
16524,167438813,1284,225,Fri Jul 16 16:00:23 +0000 2010,en
16586,103108640,1119,202,Fri Jan 08 22:51:03 +0000 2010,en
16611,473430143,1572,413,Tue Jan 24 23:49:42 +0000 2012,en
16625,1067714802,1307,446,Mon Jan 07 07:53:59 +0000 2013,en
16630,114000905,1758,214,Sat Feb 13 19:15:51 +0000 2010,en
16667,102054537,1132,484,Tue Jan 05 13:01:35 +0000 2010,en
16681,22703429,1645,155,Wed Mar 04 00:01:24 +0000 2009,en
16780,134851396,1141,273,Mon Apr 19 16:42:26 +0000 2010,en
16879,18931904,1316,349,Tue Jan 13 07:09:04 +0000 2009,en
16978,480872337,1777,266,Thu Feb 02 00:59:55 +0000 2012,en
17026,24312086,1027,358,Sat Mar 14 02:35:00 +0000 2009,en
17113,22134083,1763,421,Fri Feb 27 12:23:31 +0000 2009,en
17160,109725408,1748,352,Sat Jan 30 01:43:57 +0000 2010,en
17163,30066364,1543,120,Thu Apr 09 21:00:48 +0000 2009,en
17168,16088285,1412,263,Mon Sep 01 21:38:09 +0000 2008,en
17181,280512296,1383,352,Mon Apr 11 13:37:00 +0000 2011,en
17237,160329209,1972,356,Sun Jun 27 21:52:02 +0000 2010,en
17259,115402745,1437,485,Thu Feb 18 15:04:37 +0000 2010,en
17363,263647215,1467,312,Thu Mar 10 13:15:23 +0000 2011,en
17392,105181623,1109,448,Fri Jan 15 16:09:58 +0000 2010,en
17438,124816474,1786,497,Sat Mar 20 17:25:38 +0000 2010,en
17458,36842079,1379,359,Fri May 01 01:25:35 +0000 2009,en
17541,448510429,1144,197,Wed Dec 28 02:43:12 +0000 2011,en
17581,506858125,1185,342,Tue Feb 28 04:14:45 +0000 2012,en
17678,175400197,1052,470,Fri Aug 06 14:10:35 +0000 2010,en
17681,56987544,1337,433,Wed Jul 15 11:03:59 +0000 2009,en
17696,2983245271,1637,398,Wed Jan 14 20:09:33 +0000 2015,en
17697,304654862,1070,269,Tue May 24 21:53:25 +0000 2011,en
17710,35448592,1980,149,Sun Apr 26 11:33:02 +0000 2009,en
17718,231126326,1997,238,Mon Dec 27 17:31:37 +0000 2010,en
17721,138750068,1465,141,Fri Apr 30 13:36:08 +0000 2010,en
17722,21235486,1838,257,Wed Feb 18 20:11:28 +0000 2009,en
17775,24314714,1129,125,Sat Mar 14 02:51:44 +0000 2009,en
17779,2252774689,1668,329,Thu Dec 19 01:11:27 +0000 2013,en
17799,904767654,1906,149,Thu Oct 25 22:14:01 +0000 2012,en
17815,18434704,1125,497,Sun Dec 28 21:30:46 +0000 2008,en
17868,432763933,1636,254,Fri Dec 09 19:11:15 +0000 2011,en
17910,383374250,1172,448,Sat Oct 01 19:27:27 +0000 2011,en
17958,83935810,1207,404,Tue Oct 20 22:01:40 +0000 2009,en
17963,1596148664,1298,299,Mon Jul 15 15:51:06 +0000 2013,en
18033,1328212934,1125,219,Fri Apr 05 02:16:05 +0000 2013,en
18045,84615425,1465,133,Fri Oct 23 15:21:12 +0000 2009,en
18049,2809129864,1760,419,Sun Oct 05 21:15:52 +0000 2014,en
18053,199742582,1323,442,Thu Oct 07 16:42:29 +0000 2010,en
18056,20890869,1947,462,Sun Feb 15 03:43:15 +0000 2009,en
18066,63563043,1693,428,Thu Aug 06 22:43:52 +0000 2009,en
18172,34367366,1104,330,Wed Apr 22 19:19:35 +0000 2009,en
18218,49228583,1904,193,Sun Jun 21 04:18:34 +0000 2009,en
18288,312093132,1669,451,Mon Jun 06 15:34:31 +0000 2011,en
18290,2616580429,1314,274,Fri Jul 11 02:41:38 +0000 2014,en
18395,69546677,1919,260,Fri Aug 28 09:17:40 +0000 2009,es
18408,33981467,1237,236,Tue Apr 21 17:57:32 +0000 2009,en
18483,54867849,1626,246,Wed Jul 08 11:24:52 +0000 2009,en
18568,14380130,1071,140,Mon Apr 14 02:08:22 +0000 2008,en
18609,305202284,1490,182,Wed May 25 20:28:55 +0000 2011,en
18612,72770853,1841,352,Wed Sep 09 05:08:32 +0000 2009,en
18656,1651709731,1710,185,Wed Aug 07 01:16:54 +0000 2013,en
18659,248234228,1724,204,Sun Feb 06 15:14:21 +0000 2011,en
18669,716290129,1681,172,Wed Jul 25 15:46:22 +0000 2012,en
18716,2389709155,1632,170,Fri Mar 14 19:18:03 +0000 2014,en
18723,57413259,1082,308,Thu Jul 16 18:55:19 +0000 2009,en
18730,154139430,1175,121,Thu Jun 10 13:35:55 +0000 2010,en
18760,37137258,1436,490,Sat May 02 04:09:40 +0000 2009,en
18766,331690801,1417,491,Fri Jul 08 15:35:09 +0000 2011,en
18784,14295569,1792,412,Thu Apr 03 18:26:44 +0000 2008,en
18805,261325652,1169,447,Sat Mar 05 18:37:59 +0000 2011,en
18816,132291374,1029,256,Mon Apr 12 20:56:08 +0000 2010,en
18894,26793841,1051,292,Thu Mar 26 17:04:04 +0000 2009,en
18904,2147825040,1058,381,Mon Oct 21 21:02:07 +0000 2013,en
18935,39095957,1436,290,Sun May 10 19:14:50 +0000 2009,en
18964,2329092852,1037,119,Wed Feb 05 17:16:37 +0000 2014,en
18972,1025077550,1923,348,Thu Dec 20 21:38:12 +0000 2012,en
19022,75150645,1584,310,Thu Sep 17 23:57:30 +0000 2009,en
19029,23894420,1933,474,Thu Mar 12 04:10:11 +0000 2009,en
19105,115792599,1348,108,Sat Feb 20 00:04:01 +0000 2010,en
19152,469610782,1301,246,Fri Jan 20 19:53:11 +0000 2012,en
19198,19102436,1756,311,Sat Jan 17 05:37:08 +0000 2009,en
19199,19137014,1379,237,Sun Jan 18 05:13:13 +0000 2009,en
19204,89299553,1349,154,Wed Nov 11 22:21:48 +0000 2009,en
19238,214073707,1959,266,Wed Nov 10 14:09:17 +0000 2010,en
19254,15688547,1988,115,Fri Aug 01 12:43:49 +0000 2008,en
19273,488052474,1663,203,Fri Feb 10 01:14:08 +0000 2012,en
19299,492607071,1143,435,Tue Feb 14 22:33:31 +0000 2012,en
19366,346389650,1950,332,Mon Aug 01 05:34:52 +0000 2011,en
19368,346892589,1490,481,Tue Aug 02 00:24:19 +0000 2011,en
19420,151574869,1674,244,Thu Jun 03 18:41:27 +0000 2010,en
19432,17841033,1408,262,Wed Dec 03 16:51:59 +0000 2008,en
19470,22036565,1383,175,Thu Feb 26 17:40:30 +0000 2009,en
19500,371501976,1267,384,Sun Sep 11 00:12:45 +0000 2011,en
19502,114207661,1178,220,Sun Feb 14 14:50:50 +0000 2010,en
19513,25447696,1766,396,Fri Mar 20 03:05:43 +0000 2009,en
19545,120518554,1152,164,Sat Mar 06 17:44:32 +0000 2010,en
19566,250328124,1217,325,Thu Feb 10 21:49:33 +0000 2011,en
19744,68214846,1189,442,Sun Aug 23 19:23:22 +0000 2009,en
19766,36086607,1273,281,Tue Apr 28 15:03:07 +0000 2009,en
19843,206496034,1531,450,Sat Oct 23 02:35:01 +0000 2010,en
19848,556223581,1118,211,Tue Apr 17 19:34:08 +0000 2012,en
19877,45618406,1066,360,Mon Jun 08 17:29:58 +0000 2009,en
19884,2533374678,1168,204,Thu May 29 20:53:54 +0000 2014,en
20035,502219956,1442,499,Fri Feb 24 22:55:25 +0000 2012,en
20036,3367956359,1645,143,Thu Jul 09 17:25:50 +0000 2015,en
20058,274164368,1750,119,Tue Mar 29 21:17:43 +0000 2011,en
20091,39371046,1799,322,Mon May 11 23:18:15 +0000 2009,en
20099,50088703,1987,302,Tue Jun 23 20:18:02 +0000 2009,en
20129,74825169,1206,269,Wed Sep 16 20:12:01 +0000 2009,en
20178,552065851,1732,263,Thu Apr 12 18:24:01 +0000 2012,en
20235,2389322204,1249,478,Fri Mar 14 15:37:39 +0000 2014,en
20243,1713114559,1859,273,Fri Aug 30 15:53:13 +0000 2013,en
20311,30290791,1061,336,Fri Apr 10 19:25:00 +0000 2009,en
20348,612862560,1377,330,Tue Jun 19 19:06:40 +0000 2012,en
20372,574019323,1188,494,Mon May 07 22:35:56 +0000 2012,en
20491,310035051,1203,188,Fri Jun 03 02:52:54 +0000 2011,en
20505,444464812,1259,371,Fri Dec 23 08:43:53 +0000 2011,en
20542,347450046,1339,203,Tue Aug 02 20:29:50 +0000 2011,en
20546,101655098,1144,156,Mon Jan 04 04:12:41 +0000 2010,en
20547,158169343,1941,181,Mon Jun 21 23:57:25 +0000 2010,en
20577,3010221402,1753,410,Thu Feb 05 14:10:45 +0000 2015,en
20646,1609374734,1898,338,Sun Jul 21 00:47:17 +0000 2013,en
20685,2901477089,1404,239,Mon Dec 01 23:36:02 +0000 2014,en
20697,87542929,1838,167,Wed Nov 04 21:52:40 +0000 2009,en
20717,2494724053,1189,227,Wed May 14 19:29:40 +0000 2014,en
20760,704250462,1193,325,Thu Jul 19 03:08:54 +0000 2012,en
20807,306080433,1356,282,Fri May 27 07:41:36 +0000 2011,en
20824,2894733795,1200,408,Thu Nov 27 15:50:39 +0000 2014,en
20848,16175650,1753,379,Sun Sep 07 23:47:17 +0000 2008,en
20898,389624946,1743,167,Wed Oct 12 18:48:49 +0000 2011,en
20914,52845734,1077,180,Wed Jul 01 20:47:00 +0000 2009,en
20947,221637650,1656,445,Wed Dec 01 05:25:25 +0000 2010,en
20973,50962105,1308,155,Fri Jun 26 07:23:31 +0000 2009,en
21117,729653510,1299,383,Wed Aug 01 01:14:06 +0000 2012,en
21130,97803194,1585,427,Sat Dec 19 02:53:28 +0000 2009,en
21133,48469903,1417,290,Thu Jun 18 20:02:35 +0000 2009,en
21166,2967119237,1283,370,Thu Jan 08 02:26:59 +0000 2015,en
21187,250185710,1458,437,Thu Feb 10 16:01:20 +0000 2011,en
21205,985420748,1765,290,Sun Dec 02 21:32:48 +0000 2012,en
21239,2937218885,1789,206,Mon Dec 22 17:29:01 +0000 2014,en
21429,14413010,1900,302,Wed Apr 16 21:15:39 +0000 2008,en
21508,592899289,1541,307,Mon May 28 17:13:12 +0000 2012,en
21663,71644329,1254,353,Fri Sep 04 21:29:57 +0000 2009,en
21668,231118175,1583,278,Mon Dec 27 17:03:36 +0000 2010,en
21674,55724388,1438,325,Sat Jul 11 01:41:29 +0000 2009,en
21678,208177815,1272,177,Tue Oct 26 19:56:54 +0000 2010,en
21681,125706625,1173,383,Tue Mar 23 16:15:45 +0000 2010,en
21755,18089068,1429,284,Fri Dec 12 23:39:15 +0000 2008,en
21797,472472650,1225,334,Tue Jan 24 00:10:04 +0000 2012,en
21848,61239011,1095,108,Wed Jul 29 16:49:49 +0000 2009,en
21858,358013788,1694,268,Fri Aug 19 07:08:26 +0000 2011,en
21864,73485051,1094,493,Fri Sep 11 21:09:29 +0000 2009,en
21865,623968625,1807,205,Sun Jul 01 18:20:30 +0000 2012,en
21875,56777838,1723,491,Tue Jul 14 18:47:10 +0000 2009,en
21885,19057948,1650,212,Fri Jan 16 06:52:02 +0000 2009,en
21948,1528669104,1794,411,Tue Jun 18 19:55:25 +0000 2013,en
21967,16689338,1978,106,Fri Oct 10 21:28:00 +0000 2008,en
21985,2884598650,1039,126,Wed Nov 19 19:01:21 +0000 2014,en
22016,116050553,1640,350,Sun Feb 21 00:07:42 +0000 2010,en
22067,2554870803,1052,323,Tue May 20 03:52:39 +0000 2014,en
22071,121238207,1153,356,Mon Mar 08 21:56:48 +0000 2010,en
22126,316165422,1533,233,Mon Jun 13 01:36:11 +0000 2011,en
22148,139537412,1643,367,Sun May 02 23:15:12 +0000 2010,en
22182,2966992750,1385,291,Thu Jan 08 00:03:49 +0000 2015,en
22287,1325256631,1225,166,Wed Apr 03 18:58:06 +0000 2013,en
22333,333498157,1255,491,Mon Jul 11 16:47:03 +0000 2011,en
22340,62941254,1715,205,Tue Aug 04 21:57:13 +0000 2009,en
22354,23590468,1859,195,Tue Mar 10 13:26:08 +0000 2009,en
22394,1488339912,1821,125,Thu Jun 06 18:11:04 +0000 2013,en
22418,329208789,1471,353,Mon Jul 04 18:12:07 +0000 2011,en
22432,355291217,1375,328,Mon Aug 15 03:49:24 +0000 2011,en
22561,334824599,1123,249,Wed Jul 13 18:39:31 +0000 2011,en
22566,159547694,1691,352,Fri Jun 25 17:52:01 +0000 2010,en
22610,46695032,1633,135,Fri Jun 12 17:00:31 +0000 2009,en
22643,729052446,1129,339,Tue Jul 31 19:22:37 +0000 2012,en
22723,36632865,1368,418,Thu Apr 30 10:14:01 +0000 2009,en
22725,69309895,1154,119,Thu Aug 27 14:49:27 +0000 2009,en
22767,352000026,1004,263,Wed Aug 10 00:50:41 +0000 2011,en
22790,50870890,1749,155,Fri Jun 26 01:50:50 +0000 2009,en
22797,6633952,1804,134,Thu Jun 07 03:56:30 +0000 2007,en
22807,989186750,1751,202,Tue Dec 04 17:17:34 +0000 2012,en
22880,334245076,1078,417,Tue Jul 12 20:03:29 +0000 2011,en
22917,23101159,1446,211,Fri Mar 06 18:48:01 +0000 2009,en
22959,42061954,1987,406,Sat May 23 17:21:32 +0000 2009,en
22984,18407451,1629,296,Sat Dec 27 13:01:06 +0000 2008,en
22987,117165632,1714,346,Wed Feb 24 19:04:53 +0000 2010,en
23044,622453494,1076,470,Sat Jun 30 00:50:07 +0000 2012,en
23048,20885975,1134,450,Sun Feb 15 01:44:28 +0000 2009,en
23057,1042665090,1614,429,Fri Dec 28 17:08:21 +0000 2012,en
23148,415198831,1803,267,Fri Nov 18 01:19:22 +0000 2011,en
23163,53941120,1039,153,Sun Jul 05 16:14:54 +0000 2009,en
23179,174290837,1622,391,Tue Aug 03 15:39:24 +0000 2010,en
23187,1378251296,1403,486,Wed Apr 24 23:52:26 +0000 2013,en
23206,15980620,1266,388,Mon Aug 25 12:29:41 +0000 2008,en
23217,49778115,1011,376,Mon Jun 22 21:48:07 +0000 2009,en
23233,33535360,1517,371,Mon Apr 20 14:50:51 +0000 2009,en
23301,85638967,1006,204,Tue Oct 27 19:15:03 +0000 2009,en
23314,17938955,1976,405,Sun Dec 07 09:34:03 +0000 2008,en
23317,26964222,1253,452,Fri Mar 27 06:42:46 +0000 2009,en
23352,19758452,1374,427,Fri Jan 30 07:38:43 +0000 2009,en
23448,28223354,1812,262,Wed Apr 01 23:16:33 +0000 2009,en
23459,113122426,1518,228,Wed Feb 10 19:44:03 +0000 2010,en
23523,26775736,1565,463,Thu Mar 26 15:39:22 +0000 2009,en
23653,1666437788,1626,142,Tue Aug 13 01:15:26 +0000 2013,en
23661,18281189,1374,269,Sun Dec 21 07:45:06 +0000 2008,en
23763,281291302,1846,439,Wed Apr 13 00:55:58 +0000 2011,en
23780,106226879,1527,335,Mon Jan 18 22:14:30 +0000 2010,en
23784,15210339,1065,279,Mon Jun 23 18:50:58 +0000 2008,en
23795,58399757,1714,479,Mon Jul 20 05:30:26 +0000 2009,ja
23830,293101518,1981,276,Wed May 04 19:19:31 +0000 2011,en
23921,29298099,1128,312,Mon Apr 06 21:28:22 +0000 2009,en
23947,1361191921,1038,416,Thu Apr 18 06:22:38 +0000 2013,en
23950,85689484,1714,125,Tue Oct 27 23:18:32 +0000 2009,en
23991,66871799,1065,268,Wed Aug 19 01:41:47 +0000 2009,en
23994,55987310,1158,128,Sun Jul 12 01:51:10 +0000 2009,en
24080,3004211717,1235,470,Thu Jan 29 16:59:55 +0000 2015,en
24094,23410387,1095,416,Mon Mar 09 06:41:46 +0000 2009,en
24109,1191587605,1629,200,Mon Feb 18 00:32:00 +0000 2013,en
24133,14159846,1903,328,Sun Mar 16 22:34:20 +0000 2008,en
24195,244723246,1257,245,Sun Jan 30 00:19:16 +0000 2011,en
